key,source_text,target_text
structure.structory.abandoned_camp,Abandoned Camp,放棄されたキャンプ
structure.structory.abandoned_chapel,Abandoned Chapel,放棄された礼拝堂
structure.structory.boat,Boat,ボート
structure.structory.dense_forest_ruin,Dense Forest Ruin,密林の廃墟
structure.structory.firetower,Firetower,火の見やぐら
structure.structory.graveyard,Graveyard,墓地
structure.structory.jungle_ruin,Jungle Ruin,ジャングルの廃墟
structure.structory.northern_ruin,Northern Ruin,北方の廃墟
structure.structory.old_manor,Old Manor,古い邸宅
structure.structory.outcast_villager_desert,Desert Outcast Villager,砂漠の追放された村人
structure.structory.outcast_villager_grassy,Grassy Outcast Villager,草原の追放された村人
structure.structory.ruin_grassy,Grassy Ruin,草原の廃墟
structure.structory.swamp_ruin,Swamp Ruin,沼地の廃墟
structure.structory.taiga_ruin_surface,Surface Taiga Ruin,タイガの地表廃墟
structure.structory.taiga_ruin_underground,Underground Taiga Ruin,タイガの地下廃墟
