key,source_text,target_text
block.structurize.blockbarreldeco_onside,Barrel Horizontal,樽水平
block.structurize.blockbarreldeco_standing,Barrel Vertical,樽垂直
block.structurize.blockfluidsubstitution,Fluid Placeholder,流体プレースホルダー
block.structurize.blocksolidsubstitution,Solid Placeholder,固形プレースホルダー
block.structurize.blocksubstitution,Placeholder Block,プレースホルダーブロック
block.structurize.blocktagsubstitution,Tag Anchor Block,タグアンカーブロック
com.ldtteam.structurize.gui.placeholder.addtag,Add Tag,追加タグ
com.ldtteam.structurize.gui.placeholder.inputtag,Type a tag name below:,タイプaタグ名前below:
com.ldtteam.structurize.gui.scan.replace.pct,Random Percentage:,ランダムパーセント:
com.ldtteam.structurize.gui.scan.replace.title,Block Replacement GUI,ブロック置き換え GUI
com.ldtteam.structurize.gui.scantool.chests,(Container contents may not be listed),(コンテナcontentsmaynotbelisted)
com.ldtteam.structurize.gui.scantool.copy.notscan,Can only copy scan commands. Sneak-click instead to paste an active scan.,canonlyコピースキャンcommands.sneak-clickinstead終点貼り付け anアクティブスキャン.
com.ldtteam.structurize.gui.scantool.copy.ok,"Scan command copied for ""%s"".","スキャンコマンドcoパイdfor""%s""."
com.ldtteam.structurize.gui.scantool.fillplacerholder.apply,Fill,埋める
com.ldtteam.structurize.gui.scantool.fillplacerholder.blockdist,Blockdist,ブロック距離
com.ldtteam.structurize.gui.scantool.fillplacerholder.blockdist.tooltip,"Set the minimum distance placeholders stay away from existing blocks, additive e.g. 2","settheミニmumdistanceplaceholdersstayaway起点existingblocks,additivee.g.2"
com.ldtteam.structurize.gui.scantool.fillplacerholder.heightoffset,Heightoffset,高さオフセット
com.ldtteam.structurize.gui.scantool.fillplacerholder.heightoffset.tooltip,"Set an offset to the y-limit placeholders generate until, additive e.g. -1","setanoffset終点they-limitplaceholdersgenerateuntil,additivee.g.-1"
com.ldtteam.structurize.gui.scantool.fillplacerholder.radius,Radius,半径
com.ldtteam.structurize.gui.scantool.fillplacerholder.radius.tooltip,"Increases or decreases the size of the excluded center circle, multiplicative e.g. 0.5","increasesordecreasestheサイズのexcludedcentercircle,multiplicativee.g.0.5"
com.ldtteam.structurize.gui.scantool.fillplacerholder.tooltip,"Placeholder filler function for the top parts of a schematic, to make schematics fit more naturally in their environment","プレースホルダーフィラーfunctionforthetoppartsofaスキーマティック,終点makeschematicsfitmorenaturallyintheirenvironment"
com.ldtteam.structurize.gui.scantool.fillplacerholder.ystretch,Y-Stretch,y-拡大
com.ldtteam.structurize.gui.scantool.fillplacerholder.ystretch.tooltip,"Increases or decreases the height of the excluded center circle, multiplicative e.g. 1.5","increasesordecreasesthe高さ のexcludedcentercircle,multiplicativee.g.1.5"
com.ldtteam.structurize.gui.scantool.from,From,起点
com.ldtteam.structurize.gui.scantool.name,Scan Name:,スキャン名前:
com.ldtteam.structurize.gui.scantool.outsideanchor,"Skipping anchor outside of selected area, select a new one if you want to set one","skippingアンカーoutsideofselectedarea,選択a新規oneifyouwant終点setone"
com.ldtteam.structurize.gui.scantool.paste.badcommand,The command block contains something other than a scan command. Clear it first if you want to paste.,theコマンドブロックcontainssomethingotherthanaスキャンコマンド.クリアitfirstifyouwant終点貼り付け.
com.ldtteam.structurize.gui.scantool.paste.badname,You must enter a filename for your scan (containing no spaces).,youmustenterafilenameforyourスキャン(containing いいえ spaces).
com.ldtteam.structurize.gui.scantool.paste.different,"Hold CTRL if you really want to paste ""%s"" into the scanner for ""%s"".","holdctrlifyoureallywant終点貼り付け""%s""intothescannerfor""%s""."
com.ldtteam.structurize.gui.scantool.paste.ok,"Pasted current scan ""%s"".","pasted現在スキャン""%s""."
com.ldtteam.structurize.gui.scantool.remove,Remove,削除
com.ldtteam.structurize.gui.scantool.remove_filtered,Remove Filtered,削除filtered
com.ldtteam.structurize.gui.scantool.replace,Replace,置き換え
com.ldtteam.structurize.gui.scantool.scanbadanchor,"Schematic %s has more than one possible anchor position, please select one","スキーマティック%shasmorethanonepossibleアンカー位置,please選択one"
com.ldtteam.structurize.gui.scantool.select,Select,選択
com.ldtteam.structurize.gui.scantool.showres,Show Resources,表示resources
com.ldtteam.structurize.gui.scantool.slot,Slot,スロット
com.ldtteam.structurize.gui.scantool.teleport.dimension,You must be in the same dimension as your build.,youmustbeinthesameディメンションasyour建築.
com.ldtteam.structurize.gui.scantool.teleport.nocmd,You must copy or paste a command block at least once to set a teleport location.,youmustコピーor貼り付け aコマンドブロックatleastonce終点setaテレポートlocation.
com.ldtteam.structurize.gui.scantool.teleport.noscan,You must have set a scan area in your current slot to set a teleport location.,youmusthavesetaスキャンareainyour現在スロット終点setaテレポートlocation.
com.ldtteam.structurize.gui.scantool.to,To,終点
com.ldtteam.structurize.gui.shapetool.hollow,Hollow,中空
com.ldtteam.structurize.gui.shapetool.ignore,Ignore Blocks,無視blocks
com.ldtteam.structurize.gui.shapetool.pickfillblock,Pick Fill Block,選択埋めるブロック
com.ldtteam.structurize.gui.shapetool.pickmainblock,Pick Main Block,選択メインブロック
com.ldtteam.structurize.gui.shapetool.replace,Replace Blocks,置き換えブロック
com.ldtteam.structurize.gui.shapetool.solid,Solid,固形
com.ldtteam.structurize.gui.structure.edit.title,Structure path:,構造パス:
com.ldtteam.structurize.gui.switchpack.authors,Authors: %s,作者:%s
com.ldtteam.structurize.gui.switchpack.list.empty,"There are no structure packs found, please install some","thereare いいえ structurepacksfound,pleaseinstallsome"
com.ldtteam.structurize.gui.switchpack.pack_disabled.hover_text,"This pack is disabled because it only exists on the client. In order to use this pack, the server must enable the config option '%s' on the server.","thispackis無効becauseitonlyexistsontheclient.inorder終点usethispack,theservermustenablethe設定オプション'%s'ontheserver."
com.ldtteam.structurize.gui.taglist.title,Existing tags in schematic:,existingtagsinスキーマティック:
com.ldtteam.structurize.gui.tagoptions.title,Registered Tags:,登録済みタグ:
com.ldtteam.structurize.gui.tagtool.addtag,Added tag %s to %s,addedタグ%s終点%s
com.ldtteam.structurize.gui.tagtool.anchor.notvalid,"This is not a valid anchor block, only certain tile entities can save tag data (like the Tag Anchor Block).","thisisnotavalidアンカーブロック,onlycertaintileentitiescan保存タグdata(liketheタグアンカーブロック)."
com.ldtteam.structurize.gui.tagtool.anchorsaved,Saved anchor tile entity and loaded existing tag list. You can now apply tags to blocks!,savedアンカーtileentityandloadedexistingタグlist.youcannow適用tags終点blocks!
com.ldtteam.structurize.gui.tagtool.apply,Apply Tags,適用tags
com.ldtteam.structurize.gui.tagtool.close,Close GUI,閉じる GUI
com.ldtteam.structurize.gui.tagtool.currenttag,Tag to apply:,タグ終点適用:
com.ldtteam.structurize.gui.tagtool.discard,Discard Changes,破棄変更
com.ldtteam.structurize.gui.tagtool.discard.success,Reset tags to anchor tags,リセットtags終点アンカーtags
com.ldtteam.structurize.gui.tagtool.invalidread,Tried to read tagPos data from invalid anchor TE,tried終点readtagposdata起点invalidアンカーte
com.ldtteam.structurize.gui.tagtool.invalidsave,Tried to save tagPos data to invalid anchor tile entity,tried終点保存tagposdata終点invalidアンカーtileentity
com.ldtteam.structurize.gui.tagtool.noanchor,Choose a valid anchor block first with shift + right-click.,chooseavalidアンカーブロックfirstwithshift+right-click.
com.ldtteam.structurize.gui.tagtool.notag,Type in a valid tag to apply to a block first!,タイプinavalidタグ終点適用終点aブロックfirst!
