key,source_text,target_text
advancements.adventure.globe.description,Spin a globe at ludicrous speed,地球儀をとてつもない速度で回転させる
advancements.adventure.globe.title,You Spin Me Right Round Baby,俺を振り回してるぜベイベー
advancements.adventure.way_sign.description,Follow me to find a village,村を見つけたいなら道標に従おう！
advancements.adventure.way_sign.title,This Must be a Sign!,どこからどう見ても道標
advancements.husbandry.soap.description,Eat a bar of soap. Don't try this at home,石鹸を食べる（絶対に真似しないでください）
advancements.husbandry.soap.title,Tide Pod Challenge,キ〇ワイプおいしい！
advancements.husbandry.sus_stew.description,Drink a suspicious stew,怪しげなシチューを飲む
advancements.husbandry.sus_stew.title,When the Stew is Sus,シチューが怪しいとき
advancements.husbandry.turn_table.description,Use a Turn Table to rotate yourself,回転台を使用して自分自身を回転させる
advancements.husbandry.turn_table.title,How the Turn Tables,テーブルの回転
advancements.husbandry.wrench.description,Use a Wrench to rotate a block,レンチを使用してブロックを回転させる
advancements.husbandry.wrench.title,Engineer Gaming,暇を持て余したエンジニアの遊び
advancements.nether.goblet.description,Drink from a Chalice,ゴブレットで何かを飲む
advancements.nether.goblet.title,Consume the Concoction Chalice,センシティブな杯
advancements.story.unenchanter.description,Grind an Enchanted Golden Apple,エンチャントされた金のリンゴを砥ぐ
advancements.story.unenchanter.title,Why Would You do That!?,なんでそんなことするんですか？
block.supplementaries.ash,Ash,灰
block.supplementaries.ash_bricks,Ash Bricks,灰レンガ
block.supplementaries.ash_bricks_slab,Ash Brick Slab,灰レンガのハーフブロック
block.supplementaries.ash_bricks_stairs,Ash Brick Stairs,灰レンガの階段
block.supplementaries.ash_bricks_wall,Ash Brick Wall,灰レンガの塀
block.supplementaries.ashen_basalt,Basalt,玄武岩
block.supplementaries.awning,Awning,日よけ
block.supplementaries.awning_black,Black Awning,黒色の日よけ
block.supplementaries.awning_blue,Blue Awning,青色の日よけ
block.supplementaries.awning_brown,Brown Awning,茶色の日よけ
block.supplementaries.awning_cyan,Cyan Awning,青緑色の日よけ
block.supplementaries.awning_gray,Gray Awning,灰色の日よけ
block.supplementaries.awning_green,Green Awning,緑色の日よけ
block.supplementaries.awning_light_blue,Light Blue Awning,空色の日よけ
block.supplementaries.awning_light_gray,Light Gray Awning,薄灰色の日よけ
block.supplementaries.awning_lime,Lime Awning,黄緑色の日よけ
block.supplementaries.awning_magenta,Magenta Awning,赤紫色の日よけ
block.supplementaries.awning_orange,Orange Awning,橙色の日よけ
block.supplementaries.awning_pink,Pink Awning,桃色の日よけ
block.supplementaries.awning_purple,Purple Awning,紫色の日よけ
block.supplementaries.awning_red,Red Awning,赤色の日よけ
block.supplementaries.awning_white,White Awning,白色の日よけ
block.supplementaries.awning_yellow,Yellow Awning,黄色の日よけ
block.supplementaries.bamboo_spikes,Bamboo Spikes,竹スパイク
block.supplementaries.bellows,Bellows,ふいご
block.supplementaries.blackboard,Blackboard,黒板
block.supplementaries.blackstone_lamp,Blackstone Lamp,ブラックストーンランプ
block.supplementaries.blackstone_tile,Blackstone Tiles,ブラックストーンタイル
block.supplementaries.blackstone_tile_slab,Blackstone Tile Slab,黒石タイルスラブ
block.supplementaries.blackstone_tile_stairs,Blackstone Tile Stairs,黒石タイル階段
block.supplementaries.blackstone_tile_wall,Blackstone Tile Wall,黒石タイル壁
block.supplementaries.blaze_rod,Blaze Rod,ブレイズロッド
block.supplementaries.book_pile,Book Pile,重ね置きされた本
block.supplementaries.book_pile_horizontal,Book Pile,重ね置きされた本
block.supplementaries.bubble_block,Bubble Block,泡ブロック
block.supplementaries.cage,Cage,ケージ
block.supplementaries.candelabra,Gold Candelabra,金の燭台
block.supplementaries.candle_holder,Candle Holder,ろうそく立て
block.supplementaries.candle_holder_black,Black Candle Holder,黒色のろうそく立て
block.supplementaries.candle_holder_blue,Blue Candle Holder,青色のろうそく立て
block.supplementaries.candle_holder_brown,Brown Candle Holder,茶色のろうそく立て
block.supplementaries.candle_holder_cupric,Cupric Candle Holder,銅のろうそく立て
block.supplementaries.candle_holder_cyan,Cyan Candle Holder,青緑色のろうそく立て
block.supplementaries.candle_holder_ender,Ender Candle Holder,エンダーろうそく立て
block.supplementaries.candle_holder_gray,Gray Candle Holder,灰色のろうそく立て
block.supplementaries.candle_holder_green,Green Candle Holder,緑色のろうそく立て
block.supplementaries.candle_holder_light_blue,Light Blue Candle Holder,空色のろうそく立て
block.supplementaries.candle_holder_light_gray,Light Gray Candle Holder,薄灰色のろうそく立て
block.supplementaries.candle_holder_lime,Lime Candle Holder,黄緑色のろうそく立て
block.supplementaries.candle_holder_magenta,Magenta Candle Holder,赤紫色のろうそく立て
block.supplementaries.candle_holder_orange,Orange Candle Holder,橙色のろうそく立て
block.supplementaries.candle_holder_pink,Pink Candle Holder,桃色のろうそく立て
block.supplementaries.candle_holder_purple,Purple Candle Holder,紫色のろうそく立て
block.supplementaries.candle_holder_red,Red Candle Holder,赤色のろうそく立て
