key,source_text,target_text
block.utilitarian.angel_block,Angel Block,エンジェルブロック
block.utilitarian.black_soliciting_carpet,Black Trader Carpet,黒色の商人のカーペット
block.utilitarian.black_trapped_soliciting_carpet,Black Trapped Trader Carpet,黒色のトラップ商人のカーペット
block.utilitarian.blue_soliciting_carpet,Blue Trader Carpet,青色の商人のカーペット
block.utilitarian.blue_trapped_soliciting_carpet,Blue Trapped Trader Carpet,青色のトラップ商人のカーペット
block.utilitarian.brown_soliciting_carpet,Brown Trader Carpet,茶色の商人のカーペット
block.utilitarian.brown_trapped_soliciting_carpet,Brown Trapped Trader Carpet,茶色のトラップ商人のカーペット
block.utilitarian.cursed_grrass,Cursed Grrass Block,呪われた草ブロック
block.utilitarian.cyan_soliciting_carpet,Cyan Trader Carpet,青緑色の商人のカーペット
block.utilitarian.cyan_trapped_soliciting_carpet,Cyan Trapped Trader Carpet,青緑色のトラップ商人のカーペット
block.utilitarian.drit,Drit,
block.utilitarian.fluid_hopper,Fluid Hopper,流体ホッパー
block.utilitarian.gray_soliciting_carpet,Gray Trader Carpet,灰色の商人のカーペット
block.utilitarian.gray_trapped_soliciting_carpet,Gray Trapped Trader Carpet,灰色のトラップ商人のカーペット
block.utilitarian.green_soliciting_carpet,Green Trader Carpet,緑色の商人のカーペット
block.utilitarian.green_trapped_soliciting_carpet,Green Trapped Trader Carpet,緑色のトラップ商人のカーペット
block.utilitarian.grrass,Grrass Block,
block.utilitarian.inverted_lapis_lamp,Inverted Lapis Lamp,反転ラピスランプ
block.utilitarian.inverted_redstone_lamp,Inverted Redstone Lamp,反転レッドストーンランプ
block.utilitarian.lapis_lamp,Lapis Lamp,ラピスランプ
block.utilitarian.lapis_lamp.tooltip,This is blue right?,これは青ですよね？
block.utilitarian.lapis_lamp.tooltip2,"Lights up an area on the client side only, it's still dark, you just can't see it.",領域をクライアント側のみで照らします。暗いですが、見えません。
block.utilitarian.light_blue_soliciting_carpet,Light Blue Trader Carpet,空色の商人のカーペット
block.utilitarian.light_blue_trapped_soliciting_carpet,Light Blue Trapped Trader Carpet,空色のトラップ商人のカーペット
block.utilitarian.light_gray_soliciting_carpet,Light Gray Trader Carpet,薄灰色の商人のカーペット
block.utilitarian.light_gray_trapped_soliciting_carpet,Light Gray Trapped Trader Carpet,薄灰色のトラップ商人のカーペット
block.utilitarian.lime_soliciting_carpet,Lime Trader Carpet,黄緑色の商人のカーペット
block.utilitarian.lime_trapped_soliciting_carpet,Lime Trapped Trader Carpet,黄緑色のトラップ商人のカーペット
block.utilitarian.magenta_soliciting_carpet,Magenta Trader Carpet,赤紫色の商人のカーペット
